0.37	0.82
0.08	1.15
0.07	1.3
0.06	1.22
0.09	1.19
0.04	1.37
0.05	1.06
0.07	1.42
0.07	1.25
0.07	1.33
0.09	1.3
0.06	1.36
0.06	1.14
0.07	1.31
0.08	1.33
0.06	1.32
0.08	1.34
0.07	1.27
0.08	1.25
0.08	1.49
0.07	1.34
0.11	1.3
0.09	1.39
0.07	1.37
0.07	1.33
0.08	1.38
0.1	1.23
0.05	1.35
0.1	1.4
0.09	1.32
0.08	1.57
0.08	1.24
0.06	1.21
0.09	1.4
0.09	1.36
0.09	1.46
0.06	1.5
0.11	1.33
0.09	1.32
0.13	1.44
0.07	1.44
0.1	1.32
0.09	1.38
0.08	1.33
0.07	1.37
0.08	1.34
0.07	1.33
0.08	1.26
0.07	1.55
0.1	1.31
0.08	1.42
0.05	1.46
0.09	1.56
0.07	1.46
0.05	1.38
0.06	1.5
0.06	1.38
0.06	1.56
0.06	1.42
0.09	1.46
0.07	1.41
0.05	1.37
0.05	1.46
0.09	1.6
0.06	1.32
0.06	1.34
0.07	1.47
0.08	1.41
0.07	1.42
0.07	1.38
0.08	1.32
0.08	1.53
0.08	1.35
0.06	1.32
0.1	1.38
0.1	1.4
