#ops,ops/sec,mb/sec,us/op,ms/op
10664,1066.317,133.2,0,0.0
10991,1099.012,137.3,0,0.0
10759,1075.798,134.4,0,0.0
10638,1063.717,132.9,0,0.0
10636,1063.523,132.9,0,0.0
10623,1062.190,132.7,0,0.0
