#ops,ops/sec,mb/sec,us/op,ms/op
,,,59.9,
193814,19378.261,25.2,0,0.0
0,0.000,0.0,0,0.0
206109,20607.562,26.8,0,0.0
204939,20490.380,26.6,0,0.0
173927,17389.726,22.6,0,0.0
0,0.000,0.0,0,0.0
239716,23967.264,31.2,0,0.0
253028,25298.750,32.9,0,0.0
134279,13425.681,17.4,0,0.0
224916,22487.557,29.2,0,0.0
112139,11211.555,14.6,0,0.0
184320,18428.436,24.0,0,0.0
74400,7438.616,9.6,0,0.0
183839,18380.709,23.9,0,0.0
36402,3639.439,4.7,0,0.0
299733,29968.793,39.0,0,0.0
42201,4219.285,5.4,0,0.0
152592,15256.381,19.8,0,0.0
134075,13404.917,17.4,0,0.0
51588,5157.806,6.7,0,0.0
176372,17633.892,22.9,0,0.0
68331,6831.710,8.8,0,0.0
55350,5533.940,7.2,0,0.0
193754,19372.080,25.2,0,0.0
75305,7529.120,9.8,0,0.0
40757,4074.925,5.3,0,0.0
150676,15064.836,19.6,0,0.0
79688,7967.326,10.3,0,0.0
42834,4282.524,5.5,0,0.0
105111,10509.110,13.6,0,0.0
50289,5027.868,6.5,0,0.0
0,0.000,0.0,0,0.0
106878,10685.914,13.9,0,0.0
84122,8410.615,10.9,0,0.0
0,0.000,0.0,0,0.0
106098,10607.929,13.8,0,0.0
82664,8264.875,10.7,0,0.0
45780,4577.040,5.9,0,0.0
45891,4588.217,5.9,0,0.0
177102,17707.213,23.0,0,0.0
0,0.000,0.0,0,0.0
128307,12828.472,16.7,0,0.0
125844,12582.118,16.3,0,0.0
64872,6485.924,8.4,0,0.0
15213,1521.004,1.9,0,0.0
156617,15658.910,20.3,0,0.0
27035,2702.955,3.5,0,0.0
153027,15299.736,19.9,0,0.0
0,0.000,0.0,0,0.0
92171,9215.418,12.0,0,0.0
93337,9332.073,12.1,0,0.0
0,0.000,0.0,0,0.0
73305,7329.155,9.5,0,0.0
72303,7228.872,9.4,0,0.0
35643,3563.589,4.6,0,0.0
102300,10228.128,13.3,0,0.0
39284,3927.641,5.1,0,0.0
34827,3482.000,4.5,0,0.0
138669,13864.417,18.0,0,0.0
0,0.000,0.0,0,0.0
79016,7900.148,10.2,0,0.0
90604,9058.663,11.7,0,0.0
0,0.000,0.0,0,0.0
47894,4788.490,6.2,0,0.0
153163,15312.232,19.9,0,0.0
1026,102.588,0.1,0,0.0
132684,13266.610,17.2,0,0.0
32910,3290.373,4.2,0,0.0
163197,16317.233,21.2,0,0.0
0,0.000,0.0,0,0.0
160578,16055.453,20.9,0,0.0
64281,6426.892,8.3,0,0.0
32178,3217.157,4.1,0,0.0
95595,9557.803,12.4,0,0.0
63669,6365.738,8.2,0,0.0
95184,9516.625,12.3,0,0.0
94485,9446.829,12.3,0,0.0
31206,3120.034,4.0,0,0.0
125621,12559.971,16.3,0,0.0
8710,870.827,1.1,0,0.0
116036,11601.480,15.1,0,0.0
61941,6192.894,8.0,0,0.0
154326,15429.781,20.0,0,0.0
0,0.000,0.0,0,0.0
138780,13875.541,18.0,0,0.0
15297,1529.388,1.9,0,0.0
122031,12200.823,15.8,0,0.0
61212,6119.948,7.9,0,0.0
91383,9136.632,11.8,0,0.0
90699,9068.266,11.8,0,0.0
57674,5766.330,7.5,0,0.0
93940,9392.300,12.2,0,0.0
0,0.000,0.0,0,0.0
150552,15052.891,19.6,0,0.0
0,0.000,0.0,0,0.0
96768,9675.109,12.6,0,0.0
54042,5403.129,7.0,0,0.0
0,0.000,0.0,0,0.0
119988,11996.636,15.6,0,0.0
29859,2985.295,3.8,0,0.0
29769,2976.277,3.8,0,0.0
91970,9195.193,11.9,0,0.0
26806,2680.067,3.4,0,0.0
59400,5938.823,7.7,0,0.0
88524,8850.808,11.5,0,0.0
0,0.000,0.0,0,0.0
117990,11796.820,15.3,0,0.0
17292,1728.850,2.2,0,0.0
59085,5907.386,7.6,0,0.0
87609,8759.276,11.4,0,0.0
6543,654.169,0.8,0,0.0
110522,11050.179,14.3,0,0.0
58497,5848.572,7.6,0,0.0
0,0.000,0.0,0,0.0
97214,9719.658,12.6,0,0.0
48067,4805.793,6.2,0,0.0
29016,2901.020,3.7,0,0.0
115548,11552.806,15.0,0,0.0
28938,2893.223,3.7,0,0.0
28842,2883.652,3.7,0,0.0
115350,11532.913,15.0,0,0.0
57414,5740.254,7.4,0,0.0
14448,1444.511,1.8,0,0.0
128076,12805.184,16.6,0,0.0
28425,2841.910,3.7,0,0.0
94449,9443.222,12.2,0,0.0
61905,6189.347,8.0,0,0.0
109665,10964.454,14.2,0,0.0
0,0.000,0.0,0,0.0
141231,14120.613,18.3,0,0.0
0,0.000,0.0,0,0.0
84072,8405.684,10.9,0,0.0
55842,5583.094,7.2,0,0.0
0,0.000,0.0,0,0.0
111996,11197.668,14.5,0,0.0
27804,2779.839,3.6,0,0.0
27894,2788.844,3.6,0,0.0
22833,2282.853,2.9,0,0.0
116120,11609.726,15.1,0,0.0
0,0.000,0.0,0,0.0
55794,5578.336,7.2,0,0.0
110880,11086.099,14.4,0,0.0
27483,2747.750,3.5,0,0.0
110901,11088.074,14.4,0,0.0
43323,4331.475,5.6,0,0.0
23912,5976.727,7.7,0,0.0
