#ops,ops/sec,mb/sec,us/op,ms/op
,,,,291.412
1516,151.450,0.5,0,0.0
1615,161.340,0.6,0,0.0
1651,164.936,0.6,0,0.0
1749,174.728,0.6,0,0.0
1624,162.239,0.6,0,0.0
1831,182.917,0.7,0,0.0
1906,190.411,0.7,0,0.0
1961,195.907,0.7,0,0.0
1969,196.703,0.7,0,0.0
2007,200.501,0.7,0,0.0
2051,204.896,0.8,0,0.0
2028,202.599,0.7,0,0.0
2042,203.997,0.7,0,0.0
2069,206.696,0.8,0,0.0
2069,206.695,0.8,0,0.0
2079,207.692,0.8,0,0.0
2106,210.391,0.8,0,0.0
2094,209.192,0.8,0,0.0
2102,209.993,0.8,0,0.0
2079,207.694,0.8,0,0.0
2129,212.687,0.8,0,0.0
2106,210.391,0.8,0,0.0
2076,207.394,0.8,0,0.0
2084,208.193,0.8,0,0.0
2106,210.391,0.8,0,0.0
2095,209.292,0.8,0,0.0
2108,210.591,0.8,0,0.0
2104,210.191,0.8,0,0.0
2083,208.095,0.8,0,0.0
2128,212.589,0.8,0,0.0
2110,210.789,0.8,0,0.0
2100,209.791,0.8,0,0.0
2099,209.692,0.8,0,0.0
2125,212.291,0.8,0,0.0
2080,207.793,0.8,0,0.0
2102,209.990,0.8,0,0.0
2080,207.793,0.8,0,0.0
2107,210.491,0.8,0,0.0
2082,207.993,0.8,0,0.0
2104,210.191,0.8,0,0.0
2065,206.295,0.8,0,0.0
2085,208.293,0.8,0,0.0
2112,210.990,0.8,0,0.0
2119,211.691,0.8,0,0.0
2149,214.685,0.8,0,0.0
2097,209.491,0.8,0,0.0
2104,210.191,0.8,0,0.0
2072,206.994,0.8,0,0.0
2111,210.892,0.8,0,0.0
2130,212.787,0.8,0,0.0
2088,208.593,0.8,0,0.0
2109,210.690,0.8,0,0.0
2103,210.091,0.8,0,0.0
2108,210.591,0.8,0,0.0
2120,211.789,0.8,0,0.0
2110,210.791,0.8,0,0.0
2125,212.289,0.8,0,0.0
2110,210.791,0.8,0,0.0
2119,211.691,0.8,0,0.0
