82.5051	34.1278	48.3773
94.6014	30.3734	64.2281
82.7117	23.7903	58.9214
84.9926	12.63	72.3626
97.708	23.5675	74.1405
74.1772	28.4557	45.7215
96.7205	31.8365	64.884
94.7023	43.7437	50.9586
72.166	37.2976	34.8684
93.3604	41.8145	51.5459
94.7023	31.887	62.8153
82.7952	24.4198	58.3754
84.6892	21.9303	62.759
81.7861	22.2503	59.5358
87.6016	19.6646	67.937
94.9622	15.1134	79.8489
90.9687	36.6801	54.2886
73.818	31.215	42.6029
88.8553	25.769	63.0862
84.1998	28.3894	55.8104
97.9314	29.2634	68.668
99.0409	25.8455	73.1954
63.0777	29.8629	33.2148
89.2604	33.3333	55.9271
89.1919	42.7273	46.4646
92.9691	26.96	66.0091
77.615	36.6347	40.9803
92.5063	44.5063	48
83.9313	29.5099	54.4214
85.4839	25.504	59.9798
85.1139	18.2785	66.8354
80	14.9746	65.0254
89.5886	18.131	71.4576
86.3728	20.8713	65.5015
87.4052	6.77795	80.6272
82.1122	9.65134	72.4608
85.1908	33.1298	52.0611
96.2159	27.4975	68.7185
96.8166	26.5791	70.2375
67.4134	31.2118	36.2016
96.214	29.7829	66.4311
75.7208	26.7071	49.0137
93.5761	27.8705	65.7056
91.5571	25.1264	66.4307
80.1113	49.3421	30.7692
