0.51	1.43
1.95	1.34
0.17	1.55
0.17	1.49
0.16	1.6
0.14	1.57
0.17	1.59
0.17	1.55
0.15	1.54
0.14	1.54
0.14	1.65
0.14	1.62
0.15	1.63
0.15	1.7
0.16	1.73
0.15	1.83
0.14	1.78
0.16	1.74
0.19	1.72
0.16	1.76
0.16	1.75
0.15	1.8
0.15	1.79
0.14	1.77
0.14	1.79
0.15	1.75
0.15	1.81
0.12	1.79
0.15	1.74
0.16	1.69
0.12	1.78
0.14	1.78
0.16	1.76
0.14	1.77
0.13	1.74
0.14	1.8
0.16	1.75
0.16	1.8
0.16	1.68
0.13	1.78
0.12	1.82
0.16	1.75
0.18	1.69
0.15	1.74
0.13	1.7
0.17	1.79
0.12	1.75
0.15	1.78
0.15	1.77
0.15	1.73
0.14	1.83
0.14	1.76
0.13	1.8
0.14	1.75
0.13	1.78
0.16	1.83
0.16	1.75
0.15	1.75
0.15	1.79
0.15	1.8
0.15	1.82
0.15	1.78
0.16	1.84
0.14	1.84
0.15	1.78
0.12	1.78
0.14	1.81
0.13	1.84
0.13	1.83
0.14	1.77
0.14	1.8
0.15	1.84
0.17	1.75
0.15	1.76
0.14	1.75
0.14	1.76
0.15	1.8
0.15	1.72
0.12	1.82
0.14	1.8
0.16	1.8
0.13	1.78
0.13	1.77
0.16	1.73
0.16	1.7
0.16	1.78
0.12	1.79
0.14	1.78
0.14	1.76
0.16	1.85
0.14	1.79
0.13	1.79
0.16	1.79
0.15	1.73
0.15	1.76
0.12	1.79
0.14	1.73
0.13	1.8
0.18	1.72
0.17	1.71
