#ops,ops/sec,mb/sec,us/op,ms/op
,,,,11.362
383911,38353.276,149.8,0,0.0
324851,32452.897,126.7,0,0.0
282772,28249.005,110.3,0,0.0
296097,29580.368,115.5,0,0.0
322165,32184.518,125.7,0,0.0
