Filebench Version 1.5-alpha3
0.000: Allocated 4761MB of shared memory
0.052: Populating and pre-allocating filesets
0.052: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.016MB total size
0.052: Removing logfiles tree (if exists)
0.053: Pre-allocating directories in logfiles tree
0.053: Pre-allocating files in logfiles tree
0.612: bigfileset populated: 1250000 files, avg. dir. width = 20, avg. dir. depth = 4.7, 0 leafdirs, 19531.250MB total size
0.612: Removing bigfileset tree (if exists)
0.614: Pre-allocating directories in bigfileset tree
3.899: Pre-allocating files in bigfileset tree
170.249: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
170.384: Population and pre-allocation of filesets completed
178.186: Attempting to create fileset more than once, ignoring
178.202: Starting 1 webserver instances
179.394: Running...
189.492: Per-Operation Breakdown
finish               3905ops      390ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.008ms]
appendlog            4072ops      407ops/s   3.1mb/s  152.799ms/op [0.199ms - 724.319ms]
closefile10          3975ops      397ops/s   0.0mb/s    0.595ms/op [0.006ms - 17.517ms]
readfile10           3975ops      397ops/s   6.2mb/s    1.747ms/op [0.238ms - 107.301ms]
openfile10           3979ops      398ops/s   0.0mb/s    6.470ms/op [0.042ms - 129.749ms]
closefile9           3979ops      398ops/s   0.0mb/s    0.593ms/op [0.009ms - 55.840ms]
readfile9            3980ops      398ops/s   6.2mb/s    1.680ms/op [0.233ms - 15.223ms]
openfile9            3984ops      398ops/s   0.0mb/s    6.590ms/op [0.362ms - 134.710ms]
closefile8           3984ops      398ops/s   0.0mb/s    0.585ms/op [0.008ms - 63.781ms]
readfile8            3984ops      398ops/s   6.2mb/s    1.769ms/op [0.252ms - 124.383ms]
openfile8            3985ops      398ops/s   0.0mb/s    6.638ms/op [0.234ms - 135.493ms]
closefile7           3985ops      398ops/s   0.0mb/s    0.582ms/op [0.019ms - 5.043ms]
readfile7            3986ops      399ops/s   6.2mb/s    1.715ms/op [0.232ms - 14.782ms]
openfile7            3986ops      399ops/s   0.0mb/s    6.659ms/op [0.365ms - 133.174ms]
closefile6           3986ops      399ops/s   0.0mb/s    0.575ms/op [0.005ms - 17.507ms]
readfile6            3986ops      399ops/s   6.2mb/s    1.721ms/op [0.239ms - 107.275ms]
openfile6            3990ops      399ops/s   0.0mb/s    6.579ms/op [0.187ms - 131.595ms]
closefile5           3990ops      399ops/s   0.0mb/s    0.574ms/op [0.021ms - 4.561ms]
readfile5            3991ops      399ops/s   6.2mb/s    1.715ms/op [0.253ms - 117.221ms]
openfile5            3992ops      399ops/s   0.0mb/s    6.612ms/op [0.203ms - 132.028ms]
closefile4           3993ops      399ops/s   0.0mb/s    0.610ms/op [0.017ms - 117.820ms]
readfile4            3993ops      399ops/s   6.2mb/s    1.727ms/op [0.264ms - 122.178ms]
openfile4            3994ops      399ops/s   0.0mb/s    6.512ms/op [0.379ms - 129.355ms]
closefile3           3994ops      399ops/s   0.0mb/s    0.646ms/op [0.005ms - 121.162ms]
readfile3            3994ops      399ops/s   6.2mb/s    1.837ms/op [0.236ms - 124.502ms]
openfile3            3999ops      400ops/s   0.0mb/s    6.597ms/op [0.231ms - 129.972ms]
closefile2           4000ops      400ops/s   0.0mb/s    0.607ms/op [0.006ms - 8.652ms]
readfile2            4000ops      400ops/s   6.2mb/s    1.834ms/op [0.168ms - 119.834ms]
openfile2            4001ops      400ops/s   0.0mb/s    6.808ms/op [0.208ms - 134.356ms]
closefile1           4001ops      400ops/s   0.0mb/s    0.628ms/op [0.024ms - 40.162ms]
readfile1            4003ops      400ops/s   6.3mb/s    1.851ms/op [0.263ms - 124.049ms]
openfile1            4005ops      400ops/s   0.0mb/s    8.593ms/op [0.192ms - 166.764ms]
189.492: IO Summary: 123766 ops 12375.885 ops/s 3989/407 rd/wr  65.5mb/s 7.983ms/op
199.590: Per-Operation Breakdown
finish               4109ops      411ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.009ms]
appendlog            4101ops      410ops/s   3.2mb/s  146.923ms/op [0.930ms - 546.312ms]
closefile10          4102ops      410ops/s   0.0mb/s    0.466ms/op [0.027ms - 1.600ms]
readfile10           4103ops      410ops/s   6.4mb/s    1.465ms/op [0.267ms - 270.475ms]
openfile10           4103ops      410ops/s   0.0mb/s    5.291ms/op [0.216ms - 286.584ms]
closefile9           4103ops      410ops/s   0.0mb/s    0.532ms/op [0.013ms - 274.902ms]
readfile9            4102ops      410ops/s   6.4mb/s    1.396ms/op [0.236ms - 276.265ms]
openfile9            4099ops      410ops/s   0.0mb/s    5.568ms/op [0.225ms - 287.226ms]
closefile8           4100ops      410ops/s   0.0mb/s    0.532ms/op [0.020ms - 275.053ms]
readfile8            4100ops      410ops/s   6.4mb/s    1.453ms/op [0.269ms - 270.464ms]
openfile8            4103ops      410ops/s   0.0mb/s    5.360ms/op [0.358ms - 278.410ms]
closefile7           4103ops      410ops/s   0.0mb/s    0.469ms/op [0.011ms - 1.415ms]
readfile7            4103ops      410ops/s   6.4mb/s    1.407ms/op [0.236ms - 276.462ms]
openfile7            4106ops      411ops/s   0.0mb/s    5.581ms/op [0.214ms - 287.610ms]
closefile6           4106ops      411ops/s   0.0mb/s    0.471ms/op [0.027ms - 1.960ms]
readfile6            4106ops      411ops/s   6.4mb/s    1.408ms/op [0.243ms - 276.356ms]
openfile6            4106ops      411ops/s   0.0mb/s    5.595ms/op [0.254ms - 281.794ms]
closefile5           4106ops      411ops/s   0.0mb/s    0.467ms/op [0.017ms - 1.602ms]
readfile5            4105ops      410ops/s   6.4mb/s    1.450ms/op [0.230ms - 276.403ms]
openfile5            4105ops      410ops/s   0.0mb/s    5.514ms/op [0.211ms - 285.659ms]
closefile4           4104ops      410ops/s   0.0mb/s    0.533ms/op [0.028ms - 269.644ms]
readfile4            4105ops      410ops/s   6.4mb/s    1.587ms/op [0.241ms - 275.964ms]
openfile4            4106ops      411ops/s   0.0mb/s    5.414ms/op [0.202ms - 280.104ms]
closefile3           4106ops      411ops/s   0.0mb/s    0.529ms/op [0.008ms - 248.573ms]
readfile3            4106ops      411ops/s   6.4mb/s    1.458ms/op [0.220ms - 249.224ms]
openfile3            4106ops      411ops/s   0.0mb/s    5.485ms/op [0.204ms - 282.271ms]
closefile2           4105ops      410ops/s   0.0mb/s    0.474ms/op [0.025ms - 1.703ms]
readfile2            4106ops      411ops/s   6.4mb/s    1.597ms/op [0.225ms - 276.747ms]
openfile2            4108ops      411ops/s   0.0mb/s    5.380ms/op [0.356ms - 282.604ms]
closefile1           4109ops      411ops/s   0.0mb/s    0.599ms/op [0.018ms - 274.960ms]
readfile1            4108ops      411ops/s   6.4mb/s    1.329ms/op [0.233ms - 5.258ms]
openfile1            4109ops      411ops/s   0.0mb/s    5.939ms/op [0.212ms - 288.248ms]
199.590: IO Summary: 127240 ops 12723.244 ops/s 4104/410 rd/wr  67.3mb/s 7.147ms/op
209.688: Per-Operation Breakdown
finish               4146ops      415ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.001ms]
appendlog            4147ops      415ops/s   3.2mb/s  146.448ms/op [0.573ms - 543.804ms]
closefile10          4149ops      415ops/s   0.0mb/s    0.473ms/op [0.011ms - 3.914ms]
readfile10           4149ops      415ops/s   6.5mb/s    1.363ms/op [0.234ms - 63.015ms]
openfile10           4146ops      415ops/s   0.0mb/s    5.407ms/op [0.244ms - 259.313ms]
closefile9           4146ops      415ops/s   0.0mb/s    0.541ms/op [0.011ms - 252.776ms]
readfile9            4146ops      415ops/s   6.5mb/s    1.426ms/op [0.245ms - 254.381ms]
openfile9            4147ops      415ops/s   0.0mb/s    5.199ms/op [0.232ms - 262.458ms]
closefile8           4147ops      415ops/s   0.0mb/s    0.478ms/op [0.009ms - 4.417ms]
readfile8            4148ops      415ops/s   6.5mb/s    1.356ms/op [0.244ms - 9.119ms]
openfile8            4147ops      415ops/s   0.0mb/s    5.228ms/op [0.215ms - 252.555ms]
