#ops,ops/sec,mb/sec,us/op,ms/op
19453757,1945200.437,7598.4,0,0.0
,,,,
20546748,2054537.351,8025.5,0,0.0
19787731,1977208.535,7723.4,0,0.0
20663703,2066229.796,8071.2,0,0.0
20658247,2065669.155,8069.0,0,0.0
