exp_type,wrkl_type,wrkl,wrkl_size,num_threads,num_files,count,avg_ops_sec
accel-fuse,sq,wr,4KB,32th,32f,1,65521.7
default-fuse,cr,wr,4KB,1th,4Mf,1,0
default-fuse,cr,wr,4KB,32th,4Mf,1,0
default-fuse,preall,de,4KB,1th,4Mf,1,0
default-fuse,preall,de,4KB,32th,4Mf,1,0
default-fuse,preall,re,4KB,1th,1Mf,1,13174.6
default-fuse,preall,re,4KB,32th,1Mf,1,15999.6
default-fuse,rd,re,128KB,1th,1f,1,1271.57
default-fuse,rd,re,128KB,32th,1f,1,1489.54
default-fuse,rd,re,1MB,1th,1f,1,199.615
default-fuse,rd,re,1MB,32th,1f,1,246.855
default-fuse,rd,re,32KB,1th,1f,1,3945.59
default-fuse,rd,re,32KB,32th,1f,1,4795.14
default-fuse,rd,re,4KB,1th,1f,1,7949.77
default-fuse,rd,re,4KB,32th,1f,1,9907.68
default-fuse,rd,wr,128KB,1th,1f,1,1940.31
default-fuse,rd,wr,128KB,32th,1f,1,1782.54
default-fuse,rd,wr,1MB,1th,1f,1,237.647
default-fuse,rd,wr,1MB,32th,1f,1,232.521
default-fuse,rd,wr,32KB,1th,1f,1,7186.92
default-fuse,rd,wr,32KB,32th,1f,1,6815.62
default-fuse,rd,wr,4KB,1th,1f,1,45105.4
default-fuse,rd,wr,4KB,32th,1f,1,42506.7
default-fuse,sq,re,128KB,1th,1f,1,2145.06
default-fuse,sq,re,128KB,32th,32f,1,2152.48
default-fuse,sq,re,1MB,1th,1f,1,268.154
default-fuse,sq,re,1MB,32th,32f,1,269.33
default-fuse,sq,re,32KB,1th,1f,1,8547.51
default-fuse,sq,re,32KB,32th,32f,1,8609.95
default-fuse,sq,re,4KB,1th,1f,1,68643.7
default-fuse,sq,re,4KB,32th,32f,1,68878.8
default-fuse,sq,wr,128KB,1th,1f,1,1366.67
default-fuse,sq,wr,128KB,32th,32f,1,2047.97
default-fuse,sq,wr,1MB,1th,1f,1,180.699
default-fuse,sq,wr,1MB,32th,32f,1,256.238
default-fuse,sq,wr,32KB,1th,1f,1,5741.17
default-fuse,sq,wr,32KB,32th,32f,1,8190.76
default-fuse,sq,wr,4KB,1th,1f,1,44964.4
default-fuse,sq,wr,4KB,32th,32f,1,65523.6
no-fuse,cr,wr,4KB,1th,4Mf,1,0
no-fuse,cr,wr,4KB,32th,4Mf,1,0
no-fuse,preall,de,4KB,1th,2Mf,1,0
