#ops,ops/sec,mb/sec,us/op,ms/op
,,,,14.424
71670,7166.286,27.9,0,0.0
97627,9762.025,38.1,0,0.0
78343,7833.634,30.6,0,0.0
81393,8138.530,31.7,0,0.0
67468,6746.139,26.3,0,0.0
