#ops,ops/sec,mb/sec,us/op,ms/op
,,,,75.016
394157,39409.926,51.3,0,0.0
402516,40244.469,52.4,0,0.0
358294,35824.080,46.6,0,0.0
437996,43792.965,57.0,0,0.0
287228,28719.018,37.3,0,0.0
309929,30988.809,40.3,0,0.0
292068,29202.192,38.0,0,0.0
222960,22292.683,29.0,0,0.0
222687,22265.378,28.9,0,0.0
204508,20447.555,26.6,0,0.0
205420,20538.849,26.7,0,0.0
175319,17528.955,22.8,0,0.0
199716,19968.257,26.0,0,0.0
203184,20315.580,26.4,0,0.0
155663,15563.699,20.2,0,0.0
199740,19970.819,26.0,0,0.0
150028,15000.589,19.5,0,0.0
108286,10826.940,14.0,0,0.0
172929,17290.440,22.5,0,0.0
173106,17307.549,22.5,0,0.0
107395,10737.721,13.9,0,0.0
72460,7244.790,9.4,0,0.0
171297,17126.343,22.3,0,0.0
75774,7576.086,9.8,0,0.0
114759,11473.947,14.9,0,0.0
103521,10350.288,13.4,0,0.0
62631,6261.995,8.1,0,0.0
158793,15876.450,20.6,0,0.0
102756,10273.822,13.3,0,0.0
73247,7323.419,9.5,0,0.0
112314,11229.426,14.6,0,0.0
65115,6510.425,8.4,0,0.0
126258,12623.648,16.4,0,0.0
77769,7775.556,10.1,0,0.0
93281,9326.609,12.1,0,0.0
73809,7379.640,9.6,0,0.0
91996,9198.068,11.9,0,0.0
56957,5694.698,7.4,0,0.0
121467,12144.542,15.8,0,0.0
51765,5175.558,6.7,0,0.0
97467,9744.918,12.6,0,0.0
71514,7150.099,9.3,0,0.0
92619,9260.202,12.0,0,0.0
46437,4642.859,6.0,0,0.0
121806,12178.402,15.8,0,0.0
47883,4787.396,6.2,0,0.0
95214,9519.775,12.3,0,0.0
59709,5969.893,7.7,0,0.0
91022,9100.659,11.8,0,0.0
81624,8160.995,10.6,0,0.0
20599,2059.538,2.6,0,0.0
119156,11913.727,15.5,0,0.0
44388,4438.022,5.7,0,0.0
118657,11863.648,15.4,0,0.0
49853,4984.384,6.4,0,0.0
110427,11040.807,14.3,0,0.0
51210,5120.078,6.6,0,0.0
58739,5872.883,7.6,0,0.0
82774,8275.870,10.7,0,0.0
37731,3772.441,4.9,0,0.0
119502,11948.295,15.5,0,0.0
41554,4154.638,5.4,0,0.0
89495,8947.902,11.6,0,0.0
48408,4839.913,6.3,0,0.0
15294,1529.123,1.9,0,0.0
114879,11485.872,14.9,0,0.0
44529,4452.084,5.7,0,0.0
88710,8869.440,11.5,0,0.0
49176,4916.819,6.4,0,0.0
55446,5543.649,7.2,0,0.0
77138,7712.449,10.0,0,0.0
42038,4203.077,5.4,0,0.0
115891,11586.982,15.0,0,0.0
34839,3483.266,4.5,0,0.0
92925,9290.841,12.0,0,0.0
54678,5466.772,7.1,0,0.0
36648,3664.121,4.7,0,0.0
12741,1273.869,1.6,0,0.0
111630,11161.068,14.5,0,0.0
41385,4137.736,5.3,0,0.0
26112,2610.719,3.4,0,0.0
96156,9613.869,12.5,0,0.0
44922,4491.357,5.8,0,0.0
86652,8663.756,11.2,0,0.0
48855,4884.559,6.3,0,0.0
23178,2317.371,3.0,0,0.0
112437,11241.516,14.6,0,0.0
17032,1702.872,2.2,0,0.0
28802,2879.671,3.7,0,0.0
98592,9857.518,12.8,0,0.0
47676,4766.732,6.2,0,0.0
22902,2289.781,2.9,0,0.0
85413,8539.898,11.1,0,0.0
62004,6199.412,8.0,0,0.0
84959,8494.413,11.0,0,0.0
27005,2700.033,3.5,0,0.0
39308,3930.117,5.1,0,0.0
87660,8764.415,11.4,0,0.0
50814,5080.488,6.6,0,0.0
28653,2864.815,3.7,0,0.0
81396,8138.199,10.5,0,0.0
36362,3635.579,4.7,0,0.0
40011,4000.354,5.2,0,0.0
50217,5020.832,6.5,0,0.0
72716,7270.304,9.4,0,0.0
39351,3934.400,5.1,0,0.0
62799,6278.757,8.1,0,0.0
69765,6975.277,9.0,0,0.0
27654,2764.916,3.6,0,0.0
55406,5539.607,7.2,0,0.0
42277,4226.966,5.5,0,0.0
16863,1685.994,2.1,0,0.0
50586,5057.709,6.5,0,0.0
39885,13292.559,17.0,0,0.0
