0.16	3.65
0.03	0.85
0.13	3.49
0.15	3.6
0.14	3
0.05	1.47
0.21	5.97
0.21	5.25
0.14	3.65
0.13	3.45
0.13	3.43
0.18	3.99
0.24	3.28
0.14	3.63
0.14	3.67
0.14	3.33
0.22	3.41
0.17	3.61
0.17	3.62
0.15	3.69
0.13	3.46
0.16	3.85
0.15	3.27
0.13	3.59
0.16	3.84
0.13	3.36
0.13	3.41
0.43	3.85
0.12	3.41
0.14	3.5
0.17	3.74
0.13	3.39
0.12	3.51
0.22	3.56
0.12	3.67
0.14	3.45
0.16	3.82
0.12	3.49
0.12	3.06
0.13	3.45
0.14	3.39
0.15	3.5
0.14	3.58
0.15	3.56
0.15	3.68
