#ops,ops/sec,mb/sec,us/op,ms/op
,,,19.3,
133093,13296.108,17.3,0,0.0
129729,12960.171,16.8,0,0.0
118952,11883.416,15.4,0,0.0
132031,13190.009,17.1,0,0.0
141297,14115.699,18.3,0,0.0
127451,12732.551,16.5,0,0.0
96869,9677.300,12.6,0,0.0
127601,12747.481,16.6,0,0.0
109670,10956.069,14.2,0,0.0
63620,6355.769,8.2,0,0.0
121848,12172.757,15.8,0,0.0
99462,9936.334,12.9,0,0.0
74403,7432.932,9.6,0,0.0
80244,8016.464,10.4,0,0.0
1366,136.465,0.1,0,0.0
82103,8202.136,10.6,0,0.0
65067,6500.236,8.4,0,0.0
73827,7375.443,9.6,0,0.0
74166,7409.257,9.6,0,0.0
113985,11387.222,14.8,0,0.0
116886,11677.035,15.2,0,0.0
78194,7811.663,10.1,0,0.0
50172,5012.239,6.5,0,0.0
77229,7715.256,10.0,0,0.0
53682,5362.886,6.9,0,0.0
86685,8659.837,11.2,0,0.0
48903,4885.579,6.3,0,0.0
44698,4465.344,5.8,0,0.0
62331,6226.974,8.1,0,0.0
62568,6250.556,8.1,0,0.0
62176,6211.486,8.0,0,0.0
40813,4077.218,5.3,0,0.0
64299,6423.536,8.3,0,0.0
61849,6178.827,8.0,0,0.0
46400,4635.392,6.0,0,0.0
42840,4279.770,5.5,0,0.0
36297,3626.069,4.7,0,0.0
63219,6315.695,8.2,0,0.0
62712,6264.926,8.1,0,0.0
62578,6251.612,8.1,0,0.0
48274,4822.646,6.2,0,0.0
38900,3886.148,5.0,0,0.0
43279,4323.611,5.6,0,0.0
40557,4051.694,5.2,0,0.0
44698,4465.380,5.8,0,0.0
61979,6191.706,8.0,0,0.0
61273,6121.282,7.9,0,0.0
61580,6151.897,8.0,0,0.0
47182,4713.497,6.1,0,0.0
36504,3646.778,4.7,0,0.0
39732,3969.285,5.1,0,0.0
37039,3700.230,4.8,0,0.0
49241,4919.227,6.4,0,0.0
61887,6182.563,8.0,0,0.0
62016,6195.452,8.0,0,0.0
59124,5906.538,7.6,0,0.0
40670,4062.957,5.2,0,0.0
36024,3598.835,4.6,0,0.0
42711,4266.879,5.5,0,0.0
40426,4038.572,5.2,0,0.0
61270,6120.918,7.9,0,0.0
61707,6164.636,8.0,0,0.0
56717,5666.075,7.3,0,0.0
41118,4107.710,5.3,0,0.0
34998,3496.331,4.5,0,0.0
38048,3801.048,4.9,0,0.0
57120,5706.291,7.4,0,0.0
55794,5573.921,7.2,0,0.0
55314,5525.920,7.2,0,0.0
52896,5284.356,6.8,0,0.0
53199,5314.631,6.9,0,0.0
52584,5253.191,6.8,0,0.0
50343,5029.315,6.5,0,0.0
50553,5050.288,6.5,0,0.0
49161,4911.228,6.4,0,0.0
48861,4881.256,6.3,0,0.0
47358,4731.076,6.1,0,0.0
47325,4727.813,6.1,0,0.0
46755,4670.871,6.0,0,0.0
45888,4584.281,5.9,0,0.0
44607,4456.251,5.8,0,0.0
45105,4506.037,5.8,0,0.0
43743,4369.998,5.6,0,0.0
44721,4467.672,5.8,0,0.0
43035,4299.199,5.6,0,0.0
43698,4365.510,5.6,0,0.0
47751,4770.367,6.2,0,0.0
54867,5481.268,7.1,0,0.0
51126,5107.536,6.6,0,0.0
26198,2617.207,3.4,0,0.0
62122,6206.046,8.0,0,0.0
53516,5346.307,6.9,0,0.0
40005,3996.533,5.2,0,0.0
29874,2984.441,3.8,0,0.0
87255,8716.849,11.3,0,0.0
47852,4780.463,6.2,0,0.0
38424,3838.593,5.0,0,0.0
38376,3833.795,4.9,0,0.0
38196,3815.820,4.9,0,0.0
38748,3870.963,5.0,0,0.0
48126,4807.875,6.2,0,0.0
61494,6143.294,8.0,0,0.0
40956,4091.553,5.3,0,0.0
36753,3671.656,4.7,0,0.0
36891,3685.451,4.8,0,0.0
36789,3675.223,4.7,0,0.0
38452,3841.423,5.0,0,0.0
41920,4187.850,5.4,0,0.0
39447,3940.792,5.1,0,0.0
39388,3934.898,5.1,0,0.0
53615,5356.188,6.9,0,0.0
38691,3865.272,5.0,0,0.0
36337,3630.082,4.7,0,0.0
36063,3602.757,4.6,0,0.0
35187,3515.194,4.5,0,0.0
35082,3504.753,4.5,0,0.0
40458,4041.797,5.2,0,0.0
38999,3896.032,5.0,0,0.0
53095,5304.256,6.9,0,0.0
34406,3437.195,4.4,0,0.0
39181,3914.221,5.1,0,0.0
39075,3903.634,5.0,0,0.0
34347,3431.279,4.4,0,0.0
34551,3451.680,4.4,0,0.0
34785,3475.058,4.5,0,0.0
34578,3454.378,4.5,0,0.0
37537,3750.008,4.8,0,0.0
46602,4655.593,6.0,0,0.0
49362,4931.318,6.4,0,0.0
33859,3382.546,4.4,0,0.0
23106,2308.299,3.0,0,0.0
41537,4149.620,5.4,0,0.0
39372,3933.303,5.1,0,0.0
52087,5203.540,6.7,0,0.0
43997,4395.485,5.7,0,0.0
33636,3360.274,4.3,0,0.0
34041,3400.710,4.4,0,0.0
33687,3365.390,4.3,0,0.0
33402,3336.874,4.3,0,0.0
36559,3652.275,4.7,0,0.0
36428,3639.223,4.7,0,0.0
47359,4731.175,6.1,0,0.0
33728,3369.485,4.3,0,0.0
45531,4548.528,5.9,0,0.0
32970,3293.768,4.2,0,0.0
33156,3312.317,4.3,0,0.0
33294,3326.133,4.3,0,0.0
32772,3273.631,4.2,0,0.0
33135,3310.192,4.3,0,0.0
37350,3731.312,4.8,0,0.0
47468,4742.099,6.1,0,0.0
30839,3080.826,4.0,0,0.0
44900,4485.572,5.8,0,0.0
36957,3692.019,4.8,0,0.0
32967,3293.456,4.2,0,0.0
32868,3283.543,4.2,0,0.0
32259,3222.703,4.2,0,0.0
32367,3233.465,4.2,0,0.0
32247,3221.534,4.1,0,0.0
36742,3670.547,4.7,0,0.0
35252,3521.690,4.5,0,0.0
34037,3400.356,4.4,0,0.0
33217,3318.403,4.3,0,0.0
46008,4596.251,5.9,0,0.0
40800,4075.924,5.3,0,0.0
32256,3222.431,4.2,0,0.0
31842,3181.045,4.1,0,0.0
32061,3202.902,4.1,0,0.0
32070,3203.821,4.1,0,0.0
31563,3153.188,4.1,0,0.0
34185,3415.113,4.4,0,0.0
38226,3818.815,4.9,0,0.0
43824,4378.026,5.7,0,0.0
36240,3620.434,4.7,0,0.0
31623,3159.167,4.1,0,0.0
38043,3800.510,4.9,0,0.0
27377,2734.999,3.5,0,0.0
29810,2978.045,3.8,0,0.0
