#ops,ops/sec,mb/sec,us/op,ms/op
,,,,894.338
4876988,487230.377,1903.2,0,0.0
5057920,505295.143,1973.8,0,0.0
4912327,490755.391,1916.9,0,0.0
4896571,489177.266,1910.8,0,0.0
5074079,506910.570,1980.1,0,0.0
