#ops,ops/sec,mb/sec,us/op,ms/op
,,,67.8,
506026,50598.663,65.8,0,0.0
431667,43158.194,56.2,0,0.0
465689,46564.937,60.6,0,0.0
434853,43481.643,56.6,0,0.0
431339,43129.742,56.1,0,0.0
305871,30584.002,39.8,0,0.0
268983,26894.978,35.0,0,0.0
256862,25682.977,33.4,0,0.0
197293,19726.509,25.6,0,0.0
210744,21071.991,27.4,0,0.0
198636,19861.366,25.8,0,0.0
243668,24363.745,31.7,0,0.0
219546,21951.252,28.5,0,0.0
178686,17866.665,23.2,0,0.0
187305,18728.041,24.3,0,0.0
169182,16915.612,22.0,0,0.0
202103,20208.443,26.3,0,0.0
133664,13364.124,17.4,0,0.0
152132,15211.048,19.8,0,0.0
147093,14707.898,19.1,0,0.0
145695,14567.995,18.9,0,0.0
89877,8986.846,11.7,0,0.0
148359,14833.991,19.3,0,0.0
103320,10330.573,13.4,0,0.0
80355,8034.779,10.4,0,0.0
172861,17284.626,22.5,0,0.0
114877,11486.036,14.9,0,0.0
63691,6367.989,8.2,0,0.0
99200,9918.645,12.9,0,0.0
137937,13791.697,17.9,0,0.0
86832,8681.659,11.3,0,0.0
50443,5043.429,6.5,0,0.0
128292,12827.286,16.7,0,0.0
57804,5779.417,7.5,0,0.0
94074,9405.995,12.2,0,0.0
62232,6222.163,8.1,0,0.0
93810,9375.991,12.2,0,0.0
112662,11264.446,14.6,0,0.0
61185,6117.456,7.9,0,0.0
122880,12286.260,16.0,0,0.0
61719,6171.199,8.0,0,0.0
92163,9214.722,12.0,0,0.0
76332,7631.980,9.9,0,0.0
84113,8409.889,10.9,0,0.0
58571,5856.198,7.6,0,0.0
69423,6941.274,9.0,0,0.0
85908,8589.473,11.1,0,0.0
77380,7736.556,10.0,0,0.0
54358,5434.887,7.0,0,0.0
60539,6052.860,7.8,0,0.0
90456,9044.342,11.7,0,0.0
60519,6051.306,7.8,0,0.0
51700,5169.556,6.7,0,0.0
94495,9448.128,12.3,0,0.0
78331,7831.943,10.2,0,0.0
64443,6443.437,8.3,0,0.0
82927,8291.294,10.7,0,0.0
78822,7880.942,10.2,0,0.0
60413,6040.283,7.8,0,0.0
59931,5992.081,7.8,0,0.0
59361,5935.243,7.7,0,0.0
59415,5940.902,7.7,0,0.0
94326,9431.524,12.2,0,0.0
59199,5919.300,7.7,0,0.0
59331,5932.078,7.7,0,0.0
51255,5124.596,6.6,0,0.0
90372,9035.671,11.7,0,0.0
58863,5885.371,7.6,0,0.0
85278,8526.503,11.1,0,0.0
72321,7231.448,9.4,0,0.0
58341,5833.512,7.5,0,0.0
102743,10273.326,13.3,0,0.0
30159,3015.315,3.9,0,0.0
78237,7820.276,10.1,0,0.0
33637,3363.106,4.3,0,0.0
93698,9368.389,12.2,0,0.0
28962,2895.668,3.7,0,0.0
57624,5761.418,7.5,0,0.0
75636,7562.466,9.8,0,0.0
45933,4592.485,5.9,0,0.0
71463,7145.087,9.3,0,0.0
76271,7625.852,9.9,0,0.0
57084,5707.442,7.4,0,0.0
48892,4888.422,6.3,0,0.0
32058,3205.250,4.1,0,0.0
34948,3494.249,4.5,0,0.0
87738,8772.333,11.4,0,0.0
61773,6176.266,8.0,0,0.0
53686,5367.838,6.9,0,0.0
41387,4138.318,5.3,0,0.0
77008,7700.064,10.0,0,0.0
50394,5038.650,6.5,0,0.0
56130,5612.128,7.3,0,0.0
28173,2816.993,3.6,0,0.0
56031,5602.274,7.2,0,0.0
12582,1258.087,1.6,0,0.0
106347,10633.633,13.8,0,0.0
28122,2811.913,3.6,0,0.0
83412,8339.903,10.8,0,0.0
27732,2772.690,3.6,0,0.0
73323,7331.093,9.5,0,0.0
47426,4741.814,6.1,0,0.0
53552,5354.309,6.9,0,0.0
41487,4148.050,5.4,0,0.0
52684,5267.478,6.8,0,0.0
14061,7028.943,9.0,0,0.0
