#ops,ops/sec,mb/sec,us/op,ms/op
,,,242.0,
7959,795.173,99.3,0,0.0
7863,785.518,98.1,0,0.0
7996,798.237,99.7,0,0.0
7807,779.969,97.4,0,0.0
7477,747.022,93.3,0,0.0
7570,756.307,94.5,0,0.0
7282,727.478,90.9,0,0.0
6711,670.494,83.7,0,0.0
7200,719.350,89.9,0,0.0
7182,717.540,89.6,0,0.0
7201,719.386,89.9,0,0.0
7531,752.351,94.0,0,0.0
7459,745.214,93.1,0,0.0
7453,744.568,93.0,0,0.0
6966,695.966,86.9,0,0.0
6589,658.243,82.2,0,0.0
6302,629.573,78.6,0,0.0
6420,641.420,80.1,0,0.0
6915,690.808,86.3,0,0.0
6936,692.974,86.6,0,0.0
5724,714.774,89.3,0,0.0
