#ops,ops/sec,mb/sec,us/op,ms/op
,,,5033.2,
50592,5058.807,5058.8,0,0.0
50688,5068.438,5068.4,0,0.0
50720,5071.660,5071.7,0,0.0
50624,5062.063,5062.1,0,0.0
50688,5068.423,5068.4,0,0.0
