1.13	1.57
1.27	1.47
0.19	1.63
0.18	1.62
0.19	1.6
0.23	1.68
0.21	1.63
0.18	1.65
0.18	1.66
0.18	1.58
0.19	1.69
0.2	1.56
0.19	1.67
0.18	1.71
0.19	1.71
0.19	1.8
0.19	1.72
0.17	1.8
0.14	1.68
0.17	1.76
0.19	1.71
0.14	1.81
0.17	1.72
0.19	1.77
0.16	1.8
0.19	1.75
0.2	1.75
0.17	1.79
0.17	1.7
0.17	1.73
0.14	1.78
0.17	1.69
0.16	1.64
0.18	1.66
0.18	1.73
0.17	1.74
0.17	1.75
0.16	1.69
0.16	1.72
0.2	1.81
0.15	1.75
0.2	1.71
0.16	1.79
0.18	1.72
0.4	1.75
0.3	1.74
0.17	1.8
0.16	1.72
0.2	1.77
0.16	1.71
0.16	1.76
0.18	1.78
0.18	1.72
0.16	1.73
0.18	1.77
0.19	1.79
0.19	1.71
0.2	1.82
0.16	1.68
0.17	1.85
0.16	1.79
0.16	1.76
0.16	1.78
0.17	1.81
0.18	1.7
0.19	1.84
0.17	1.7
0.17	1.79
0.19	1.76
0.17	1.76
0.14	1.79
0.18	1.69
0.21	1.78
0.16	1.9
0.14	1.81
0.19	1.77
0.2	1.78
0.18	1.67
0.18	1.75
0.17	1.7
0.16	1.87
0.19	1.7
0.17	1.76
0.18	1.78
0.16	1.71
0.16	1.77
0.19	1.75
0.17	1.75
0.2	1.79
0.15	1.77
0.16	1.74
0.19	1.74
0.19	1.83
0.17	1.74
0.17	1.69
0.18	1.74
0.18	1.73
0.2	1.75
0.17	1.72
0.17	1.82
0.16	1.77
0.15	1.75
0.2	1.74
0.17	1.69
0.15	1.81
0.15	1.73
0.15	1.77
